Location_ID,Location_Name_EN,Location_Name_ZH
101010100,Beijing,北京
101020100,Shanghai,上海
101280101,Guangzhou,广州
101280601,Shenzhen,深圳
101030100,Tianjin,天津
101210101,Hangzhou,杭州
101281601,Dongguan,东莞
101210401,Ningbo,宁波
101050311,Xi'an,西安
101270101,Chengdu,成都
101040100,Chongqing,重庆
101190101,Nanjing,南京
101190401,Suzhou,苏州
101200101,Wuhan,武汉
101230201,Xiamen,厦门
101230101,Fuzhou,福州
101290101,Kunming,昆明
101070101,Shenyang,沈阳
101060101,Changchun,长春
101070201,Dalian,大连
101120101,Jinan,济南
101120201,Qingdao,青岛
101180101,Zhengzhou,郑州
101160101,Lanzhou,兰州
101100101,Taiyuan,太原
101220101,Hefei,合肥
101050101,Harbin,哈尔滨
101250101,Changsha,长沙
101090101,Shijiazhuang,石家庄
101240101,Nanchang,南昌
101280701,Zhuhai,珠海
101320101,Hong Kong,香港
101330101,Macao,澳门
101340101,Taipei,台北


